job;salary;id;city;year;age
Психолог;155168;1692290;Навалькарнеро;2008;42
Учитель;103526;5571588;Краков;2007;31
Косметолог;34236;8643551;Монсон;2019;51
Строитель;125754;9814952;Вроцлав;2012;51
Инженер;23902;9587455;Тирана;1999;39
Повар;184558;3445282;Тудела;2000;21
Медсестра;74652;2879786;Таллин;2019;47
Врач;120888;9823800;Сараево;2006;60
Косметолог;91483;4728451;Сан-Себастьян;2017;51
Программист;46255;2886341;Алькала-де-Энарес;2007;51
Строитель;127495;7576845;Сараево;2000;48
IT-специалист;86660;6209125;Белград;2019;45
Продавец;113127;5995906;Сараево;2011;47
Психолог;36142;3126396;Алькала-де-Энарес;2013;31
Строитель;170968;2468813;Луго;2018;31
Учитель;113959;4332548;Виго;2010;62
Продавец;86730;3193704;Льейда;2000;41
Продавец;102368;2435780;Осера;2005;50
Косметолог;103994;3268756;Трухильо;2022;32
Бухгалтер;155127;7444311;Ташкент;2007;48
Бухгалтер;171152;5665065;Мартоса;2017;43
Повар;196238;4497648;Луго;2014;52
Программист;114969;8367952;Льейда;2017;65
Оператор call-центра;175532;4781857;Минск;2018;45
Строитель;20685;1557286;Сараево;2015;54
IT-специалист;193680;7918223;Минск;2022;28
IT-специалист;22823;7210624;Луго;2000;22
Оператор call-центра;121072;6774862;Фигерас;2021;26
Архитектор;94695;7229335;Эль-Пуэрто-де-Санта-Мария;2014;27
Архитектор;84768;4779381;Будапешт;2000;48
Архитектор;197644;2105515;Эльче;2014;34
Бухгалтер;150131;1478296;Махадаонда;2019;60
Медсестра;40534;1945712;Осера;2019;62
Программист;104516;9233784;Хельсинки;2022;64
Врач;166131;5005496;Тирана;2016;34
Менеджер;45082;2762469;Ташкент;2004;40
Программист;185337;1050459;Семана;2005;62
Архитектор;90800;7667633;Кадакес;2005;62
Менеджер;164677;3284860;Мурсия;2003;21
Водитель;197347;1849781;Сьюдад-Реаль;2003;25
Водитель;55660;9694323;Бургос;2000;64
Медсестра;172678;8406242;Минск;2012;58
Продавец;162684;6973208;Махадаонда;1999;47
Инженер;148549;6694145;Самора;2019;25
Архитектор;159722;1375337;Сеговия;2004;45
Программист;75693;9352508;Лас-Росас;2010;18
Медсестра;124914;7142354;Вальядолид;2007;26
Учитель;172547;1023381;Осера;2001;45
Психолог;154588;1838551;Кордова;2021;53
Медсестра;143147;7074584;Эль-Пуэрто-де-Санта-Мария;2002;43
Врач;29563;8725804;Прага;1999;22
Повар;133405;9485730;Семана;2011;51
IT-специалист;40242;9130738;Белград;2019;31
Медсестра;47312;2073379;Навалькарнеро;2022;61
Косметолог;32532;5023758;Трухильо;2006;42
Программист;144445;8680238;Вильявисиоса;2009;33
Продавец;31548;7855016;Вильнюс;2013;65
Продавец;156430;9173099;Эль-Пуэрто-де-Санта-Мария;2012;53
Бухгалтер;185980;4451032;Белград;2019;47
Продавец;74768;2270707;Фигерас;2019;20
Учитель;127983;7427394;Мурсия;2004;35
Инженер;43868;2629182;Камбадос;2017;25
Архитектор;180374;2563199;Камбадос;2016;45
Инженер;45050;3614728;Подгорица;2012;52
Бухгалтер;110382;2468201;Кордова;2021;34
Водитель;164267;6495058;Белград;2022;54
Повар;138929;2998307;Сан-Себастьян;2003;49
Врач;157690;8626127;Самора;2022;65
Программист;138859;9182786;Кордова;2007;64
Менеджер;93849;7827843;Сеговия;2019;55
