job;salary;id;city;year;age
Программист;50560;9472891;Москва;2015;51
Бухгалтер;155437;8244439;Санкт-Петербург;2017;37
Менеджер;134696;3807191;Артейхо;2007;35
Архитектор;82182;4829800;Картахена;2015;49
Инженер;137104;1441559;Ташкент;2007;60
Повар;189072;5582890;Кишинев;2016;20
Врач;105994;7153731;Афины;2006;45
Водитель;171967;5559994;Хихон;2006;18
Водитель;136284;4984096;Ташкент;2003;51
Программист;167831;4166404;Пласенсия;2009;45
Инженер;144480;5189903;Семана;2012;27
Менеджер;139009;8942246;Кадакес;2000;65
Медсестра;57697;6486995;Касерес;2020;34
Инженер;112346;4450102;Мадрид;2020;47
Учитель;113015;6304012;Картахена;1999;46
Архитектор;116581;9727876;Будапешт;2009;48
Водитель;173101;6806615;Бланес;1999;20
Продавец;177641;4585524;Монсон;2019;34
Психолог;49625;2800649;Санхенхо;2017;60
IT-специалист;60223;5072791;Вальядолид;2012;27
Оператор call-центра;171274;6248990;Вильявисиоса;2001;29
Программист;61220;8345585;Сантьяго-де-Компостела;2006;23
Строитель;143426;5778219;Тарраса;2009;48
Строитель;68871;1963010;Малага;2017;64
Психолог;192175;4347486;Афины;2021;30
Менеджер;105241;6890747;Бланес;2007;43
Менеджер;179588;4662572;Краков;2016;50
Строитель;76837;4512362;Осера;2021;25
Продавец;54445;7107392;Навалькарнеро;2018;36
Программист;120481;9613284;Ла-Корунья;2012;27
IT-специалист;173996;2894158;Душанбе;2002;24
Менеджер;111405;6636562;Валенсия;2012;21
Бухгалтер;76676;6833625;Льейда;2020;21
Медсестра;83839;6064682;Мартоса;2015;50
Психолог;162205;9588987;Сория;2022;18
Косметолог;155330;2083245;Белград;2021;54
Косметолог;91838;5615235;Сьюдад-Реаль;2022;24
Архитектор;51672;8741787;Тарраса;2003;57
Инженер;65599;9694782;Сьюдад-Реаль;2005;19
Врач;138219;2456895;Севилья;2002;61
Повар;189984;5187137;Фигерас;2020;62
Менеджер;164629;6358592;Ла-Корунья;2003;22
Инженер;119216;4888409;Семана;2009;47
Оператор call-центра;186692;9950937;Семана;2015;37
IT-специалист;89241;9994016;Куэнка;2009;52
Строитель;59565;6054730;Кордова;2020;40
Инженер;43333;1076554;Махадаонда;2009;51
Продавец;115121;6120053;Кадакес;2011;63
Программист;128688;5927216;Хихон;1999;23
Врач;123544;2048652;Кадакес;2001;29
Менеджер;82949;6394368;Артейхо;2001;25
Медсестра;156406;9144914;Льейда;2005;59
Врач;110393;3766971;Будапешт;2006;40
Водитель;88365;2962534;Осера;2018;29
Программист;122151;8006844;Артейхо;2022;22
Психолог;44159;5557563;Вильнюс;2005;44
Строитель;145426;1341776;Артейхо;2018;65
Повар;121010;9470229;Будапешт;2013;22
Менеджер;143617;9872654;Минск;2011;45
Психолог;58102;3783685;Тарраса;2009;62
Продавец;73105;5896727;Лас-Росас;2012;49
Повар;51975;7432632;Овьедо;2012;33
Учитель;59544;3198116;Сьюдад-Реаль;2007;39
Оператор call-центра;87774;5145232;Кишинев;2005;65
Водитель;55701;4136478;Махадаонда;2004;19
Менеджер;40208;3220182;Астана;2020;28
Бухгалтер;162653;4235599;Луарка;2013;32
Оператор call-центра;75543;4712437;Афины;2003;20
Архитектор;85734;4815244;Сьюдад-Реаль;2002;32
Водитель;80715;5190568;Санкт-Петербург;1999;58
Строитель;30672;6900419;Бишкек;2001;36
Инженер;153988;3528250;Бланес;2017;57
IT-специалист;184169;8766836;Алькала-де-Энарес;2009;56
IT-специалист;174188;5826998;Хихон;2000;44
Водитель;55492;6626801;Картахена;2003;45
Косметолог;153743;3985397;Тудела;1999;31
Архитектор;188772;4132961;Вальядолид;2002;19
Строитель;140844;3488335;Картахена;2022;42
Врач;170683;6795227;Мерида;2017;25
Строитель;190845;4825535;Скопье;2021;63
Врач;59289;4391281;Будапешт;2008;61
Водитель;26655;6370826;Трухильо;2020;23
Бухгалтер;24999;2905073;Сеговия;2008;59
Психолог;149436;9536680;Мурсия;2002;33
IT-специалист;83452;8819412;Сараево;2015;44
Водитель;64103;5565456;Тбилиси;2006;29
Врач;151482;5989825;Подгорица;2005;31
Косметолог;32837;5732254;Осера;1999;60
Программист;158929;7973251;Варшава;2015;63
Водитель;179165;2445528;Бланес;2014;52
Архитектор;106774;1141155;Эльче;2009;51
Врач;45696;7485368;Авилес;2019;52
Программист;74696;8827542;Хихон;2017;50
Программист;117772;5847394;Трухильо;2000;62
Психолог;177351;1132209;Луго;2018;26
Продавец;109460;1380455;Махадаонда;2006;35
Бухгалтер;160269;1496238;Минск;2008;19
Психолог;130424;4746284;Овьедо;2005;44
Строитель;61770;4961806;Сараево;2011;65
Инженер;63982;1886844;Сьюдад-Реаль;2014;57
Менеджер;128649;4924022;Монсон;2013;31
Психолог;67694;8470451;Хихон;2010;33
Психолог;27287;7409112;Малага;1999;39
Учитель;65226;8931480;Любляна;2006;40
Бухгалтер;53726;8504083;Трухильо;2022;27
Оператор call-центра;150065;6875346;Таллин;2001;44
Оператор call-центра;118709;7725794;Сеговия;2017;58
Оператор call-центра;112185;1935852;Краков;2021;50
Учитель;119101;3081568;Мартоса;2003;30
Продавец;132091;8997565;Самора;2004;60
Учитель;50360;7321235;Монсон;2008;26
Бухгалтер;20181;8258938;Камбадос;2001;22
Косметолог;92833;5310621;Краков;2018;27
Повар;47348;7523426;Афины;2021;49
Оператор call-центра;33940;1768081;Мерида;2002;63
Медсестра;79474;8274576;Луарка;2011;37
Косметолог;54678;5822348;Краков;2016;25
Программист;80647;9250840;Алькала-де-Энарес;2019;65
Учитель;185011;4402620;Белград;2019;21
IT-специалист;117522;5756072;Вальядолид;2012;49
Учитель;171237;6052513;Краков;2004;60
Учитель;128247;6238184;Артейхо;2018;58
Врач;66922;4819970;Сория;2003;22
Бухгалтер;21434;7699393;Валенсия;2003;22
Повар;70707;3280976;Осера;2007;25
Учитель;135545;6605233;Навалькарнеро;2014;21
Медсестра;76751;4151086;Бильбао;2016;18
Водитель;168693;9317050;Рига;2012;64
IT-специалист;72738;9008961;Сьюдад-Реаль;2011;65
Психолог;141363;2895804;Москва;2015;52
Повар;36141;1410047;Белград;2003;25
Повар;80966;8979027;Тарраса;2010;32
Менеджер;179314;9231323;Гранада;2013;60
Медсестра;147211;8858392;Санхенхо;2006;48
Учитель;74649;3067752;Картахена;2020;26
Бухгалтер;59762;7255144;Тудела;2013;39
Медсестра;137992;7507187;Семана;2003;63
Психолог;103577;9907506;Вильявисиоса;2020;56
Водитель;22899;2013453;Мурсия;2015;51
Программист;25528;6328806;Куэнка;2015;49
Водитель;84220;6089926;Ла-Корунья;2012;42
