job;salary;id;city;year;age
Психолог;24772;1908617;Кадакес;2016;40
Архитектор;114804;7939476;Бильбао;2005;28
Повар;121991;7350017;Мерида;2013;54
Архитектор;47537;3207324;Санхенхо;2005;28
Водитель;106208;2532824;Барселона;2021;46
Продавец;198407;7259651;Куэнка;2016;29
IT-специалист;83721;8251811;Ереван;2014;18
Архитектор;86202;4674055;Кишинев;2020;52
Врач;72068;6181218;Рига;2018;50
Оператор call-центра;31868;2158074;Сеговия;2021;60
Продавец;64900;1221985;Сеговия;2012;53
Программист;37469;7669711;Тарраса;2007;32
Косметолог;143444;5197838;Тудела;2017;44
Программист;42566;1708044;Камбадос;2018;27
Повар;53811;7202812;Любляна;2013;40
Строитель;127045;7708404;Камбадос;2022;30
Продавец;130355;3238579;Сантьяго-де-Компостела;2020;50
Строитель;124605;1769286;Варшава;2020;34
Учитель;157649;8200978;Хихон;2022;20
Косметолог;84607;6487320;Тирана;2008;21
Косметолог;20088;3068634;София;2010;35
Программист;85645;1992297;Вильявисиоса;2015;64
Оператор call-центра;177431;2792207;Душанбе;2011;32
Программист;45284;6049439;Подгорица;2001;36
IT-специалист;37698;9282594;Бланес;1999;30
Продавец;134001;7230006;Вальядолид;2017;19
Водитель;171128;8531747;Валенсия;2019;50
Бухгалтер;119438;7593922;Москва;2005;57
Косметолог;24642;9273795;Аликанте;2013;47
Архитектор;33630;7179008;Алма-Ата;2000;23
Строитель;89512;9039941;Овьедо;2010;20
Косметолог;116225;1582869;Малага;2011;20
Психолог;48549;7295202;Душанбе;1999;35
Продавец;164456;6585056;Ла-Корунья;2014;38
Строитель;199870;9365959;Варшава;2017;19
Медсестра;91679;3682054;Сьюдад-Реаль;2011;53
Оператор call-центра;174034;8657584;Сантьяго-де-Компостела;2010;60
Строитель;71555;7363142;Осера;2015;25
Архитектор;174479;3086533;Тудела;2000;23
Учитель;99090;6888594;Москва;2011;23
Бухгалтер;152722;3195172;Монсон;1999;43
Врач;182819;7837200;Скопье;2014;43
Менеджер;57840;6835377;Варшава;2012;29
Оператор call-центра;45259;4020539;Вроцлав;1999;57
Бухгалтер;121736;1900440;Афины;2014;48
Водитель;191237;7554709;Фигерас;2008;18
Инженер;143313;6792348;Тудела;2006;43
Строитель;45320;5030055;Луарка;2005;23
Повар;141724;5827014;Подгорица;2003;56
Психолог;55238;1145285;Барселона;2009;33
Медсестра;144721;4224379;Тудела;2009;65
IT-специалист;193967;7716829;Луарка;2012;47
Оператор call-центра;51443;3686878;Варшава;2013;64
Менеджер;35779;7449994;Махадаонда;2013;56
Продавец;132689;4612104;Любляна;2011;45
Водитель;113163;3273961;Будапешт;2014;21
Врач;82705;8166265;Кишинев;2014;49
Менеджер;83788;2376027;Осера;2022;36
Оператор call-центра;177221;8239975;Куэнка;2008;41
Оператор call-центра;117286;2364946;Куэнка;2017;23
Учитель;39314;2265380;Вроцлав;2001;60
Инженер;44864;9518886;Льейда;2006;21
Менеджер;87783;6558701;Пласенсия;2011;28
Медсестра;59414;2803777;Рига;2018;47
Психолог;171193;2407439;Пласенсия;2004;23
Оператор call-центра;150987;2280339;София;2013;47
Психолог;101091;2440885;Валенсия;2006;40
Строитель;168270;3600186;Махадаонда;2009;33
Косметолог;160938;9356454;Трухильо;2005;26
Медсестра;25351;3732609;Льейда;2002;31
Косметолог;88696;5779082;Аликанте;2012;44
Психолог;138431;1296255;Кордова;2007;54
Программист;109470;7544540;Тирана;2019;49
IT-специалист;131543;1527176;Алма-Ата;1999;64
Водитель;123012;3748587;Ташкент;2007;52
Продавец;191605;1955874;Виго;1999;49
Учитель;197637;6133849;Авилес;1999;30
Повар;25890;5684834;Малага;2001;38
Оператор call-центра;157983;1312477;Артейхо;2020;58
Инженер;89754;6804475;Самора;2008;43
Инженер;114775;3479973;Сараево;2006;32
Водитель;125375;3965103;Куэнка;2013;46
Учитель;114336;5126175;Тарраса;2001;53
Оператор call-центра;163551;4366435;Астана;2002;21
Учитель;137784;2587826;Алькала-де-Энарес;2002;60
Архитектор;133662;6757456;Загреб;2005;51
Учитель;38563;9145612;Семана;1999;21
Инженер;50257;6069395;Афины;2004;38
Бухгалтер;182403;2954344;Осера;2005;59
Бухгалтер;101026;4326018;Бургос;2019;23
Бухгалтер;154481;1112799;Трухильо;2000;48
