job;salary;id;city;year;age
Косметолог;49870;8765481;Осера;2008;60
Врач;64667;1553668;Любляна;2016;21
Медсестра;122054;6277102;Лас-Росас;2017;19
Психолог;21045;7912424;Белград;2000;48
Учитель;99575;2350000;Фигерас;2009;19
Продавец;68688;2230336;Любляна;2019;32
Психолог;35443;6412650;Мадрид;2002;26
Архитектор;20390;9521025;Семана;2009;48
Учитель;157938;1277718;Картахена;2020;45
Менеджер;73932;3145714;Будапешт;2014;30
Инженер;113612;3576307;Севилья;2008;51
Продавец;155731;1021649;Аликанте;2008;31
Психолог;126331;6688452;Ташкент;2014;44
Программист;129904;9035177;Пласенсия;2005;21
Медсестра;177803;9433373;Вальядолид;2001;51
Медсестра;103009;4587990;Тбилиси;2015;50
Косметолог;139890;1218035;Санкт-Петербург;2001;54
Повар;118714;2514059;Ла-Корунья;2011;43
Косметолог;24983;2397751;Хихон;2002;46
Повар;106137;6925190;Любляна;2021;22
Строитель;98076;8993728;Вильнюс;2012;64
Строитель;97161;8198867;Кишинев;2006;30
Медсестра;50936;7852547;Хельсинки;2021;64
Оператор call-центра;63959;5461881;Осера;2002;22
Врач;120970;3520236;Тирана;2015;64
Врач;190197;5031982;Подгорица;2006;33
Продавец;137549;9296281;Вроцлав;2011;54
Архитектор;145496;1456685;Бланес;2005;32
Повар;131897;8842768;Артейхо;2016;21
Водитель;59052;4388510;Таллин;2013;34
Водитель;65191;5780272;Таллин;2004;50
Продавец;102338;3534450;Навалькарнеро;2011;26
Врач;169593;3058892;Кишинев;2010;38
Архитектор;25390;3692884;Мартоса;2010;30
IT-специалист;145583;8430386;Куэнка;2022;30
Инженер;154587;6630190;Семана;2014;23
Оператор call-центра;77521;8881592;Трухильо;2015;20
Врач;27164;4035081;Вильявисиоса;2018;31
Учитель;151102;7835779;Виго;2015;49
Медсестра;76487;5766738;Будапешт;2010;47
Косметолог;85044;8076345;Тарраса;2022;50
Косметолог;145693;4851465;Сантьяго-де-Компостела;1999;38
Врач;168669;5117650;Картахена;2004;24
Повар;103452;5615819;Осера;1999;59
Менеджер;148293;3411281;Барселона;2018;30
Программист;21747;9939291;Краков;2015;35
Программист;123128;5623673;Картахена;2005;45
Водитель;122688;6934279;Артейхо;2010;63
Бухгалтер;50796;7907001;Фигерас;2021;65
Продавец;100467;7029302;Алма-Ата;2005;44
Повар;158448;6350680;Мерида;2009;56
Оператор call-центра;163952;1455984;Мартоса;2011;46
Врач;141730;5385578;Луго;1999;64
Архитектор;129148;6635491;Виго;2015;41
Повар;170547;2798926;Афины;2017;41
Менеджер;112039;1846418;Фигерас;2015;55
Менеджер;95795;3571634;Монсон;2003;50
Продавец;172979;5155491;Ла-Корунья;2012;43
Бухгалтер;92807;3208102;Будапешт;2002;23
Учитель;67414;1733771;Афины;2005;33
Учитель;135889;4832446;Камбадос;2018;36
Оператор call-центра;99565;5909360;Хельсинки;2015;40
Медсестра;52344;1435132;Хихон;2018;24
Повар;167799;1058143;Осера;2016;25
Врач;165334;1006655;Артейхо;2018;25
Учитель;23408;7906015;Сеговия;2021;19
Оператор call-центра;128903;5381550;Авилес;2016;33
Психолог;114608;4955047;Кордова;2021;49
Строитель;113773;5202719;Баку;2012;39
Водитель;131850;7507730;Валенсия;2008;27
Водитель;120425;9796838;Мадрид;2002;39
Учитель;59436;5787940;Будапешт;2002;64
Оператор call-центра;84169;6501764;Осера;2002;42
Учитель;176654;1515138;Вильявисиоса;2021;27
Продавец;37613;6749276;Трухильо;2009;51
Программист;193278;4055943;Артейхо;2013;51
Водитель;161715;9917423;Сория;2014;49
Оператор call-центра;46250;5067549;Ереван;2007;42
Менеджер;109239;4698883;Фигерас;2022;40
Врач;107303;8457580;Семана;2011;65
Психолог;97493;1322363;Осера;2019;24
Повар;31199;2351347;Скопье;2018;38
Оператор call-центра;20809;8065612;Луго;2002;42
Медсестра;192774;8989605;Тудела;2002;24
Оператор call-центра;108074;7385924;Кадакес;2009;32
Косметолог;51229;7459073;Мерида;2013;40
Строитель;87781;8464291;Минск;1999;38
Врач;110120;3505750;Мадрид;2009;31
Медсестра;184861;2875660;Валенсия;2014;62
Инженер;80207;1533023;Овьедо;2006;23
Косметолог;123134;4034116;Монсон;2002;64
Психолог;31208;1897508;Семана;2020;33
Бухгалтер;28372;8844358;Москва;2004;32
Архитектор;169743;4819577;Пласенсия;2004;65
Строитель;35753;1221659;Любляна;2019;63
Менеджер;140625;9254731;Вильнюс;2005;52
Архитектор;192339;9221523;Ереван;2017;64
Повар;111170;7089154;Любляна;2003;37
IT-специалист;145618;2776850;Картахена;2010;64
Психолог;102522;1062943;Санхенхо;2020;52
Учитель;169984;9147537;Варшава;2001;56
Косметолог;62703;3202666;Будапешт;2003;46
Программист;102947;6613277;Мурсия;2010;47
Повар;52788;3571006;Лас-Росас;2006;34
Продавец;29176;2991448;Хельсинки;2007;54
Медсестра;199157;8843336;Белград;2009;37
Оператор call-центра;108007;7636118;Афины;2011;24
Врач;137741;8062561;Хихон;2000;34
Менеджер;96288;5853749;Москва;2017;18
Менеджер;55940;4273932;Кадакес;2016;47
Менеджер;85496;7497407;Камбадос;2016;62
Программист;139960;9881655;Тирана;2017;31
Оператор call-центра;22609;7755887;Тирана;2005;37
Бухгалтер;157731;4557291;Любляна;2022;21
Бухгалтер;111513;3867162;София;2019;53
Оператор call-центра;80746;3839623;Монсон;2011;56
Учитель;125661;5382097;Минск;2009;35
Повар;165148;7020659;Самора;2012;20
Медсестра;62835;7846374;Овьедо;2005;62
Косметолог;165750;7171678;Кишинев;2012;48
Учитель;100681;8085142;Сеговия;2011;52
Строитель;146495;7585932;Варшава;2012;23
IT-специалист;87436;8158149;Тбилиси;2004;48
IT-специалист;161272;6579639;Сьюдад-Реаль;2022;56
Продавец;61431;8926212;Сараево;2000;48
Медсестра;153771;2793663;Рига;2020;62
Продавец;151353;3020902;Мурсия;2007;52
Врач;72339;4725111;Навалькарнеро;2014;18
Медсестра;156571;8125229;Афины;2014;22
Психолог;146956;3819447;Белград;2018;41
Инженер;77131;9599824;Бургос;2012;43
Продавец;87697;2649098;Луарка;2015;52
Бухгалтер;151980;3518270;Бильбао;2018;61
Медсестра;146782;1454920;Белград;2020;28
Оператор call-центра;156977;2072349;Махадаонда;2018;45
Строитель;194694;2490194;Хихон;2007;37
Учитель;173981;9722001;Сан-Себастьян;2010;37
Строитель;111951;8101481;Бланес;2011;43
Психолог;127664;2612971;Тбилиси;1999;27
Косметолог;164503;4799600;Осера;1999;51
Косметолог;126400;2596923;Ташкент;2011;49
Продавец;27962;8771486;Сан-Себастьян;2005;63
Менеджер;21524;5399503;Баку;2003;39
Оператор call-центра;49766;7855837;Душанбе;2005;34
Оператор call-центра;182338;7992896;Баку;2005;25
Врач;155207;3881871;Сьюдад-Реаль;2009;41
Врач;64020;1648517;Севилья;2015;52
IT-специалист;177885;8309734;Аликанте;2004;50
Учитель;73812;2292245;Валенсия;2005;59
Бухгалтер;28454;4573879;Малага;2009;42
Строитель;116668;2661166;Сория;2022;30
IT-специалист;60083;6750498;Пласенсия;2002;61
Строитель;41011;8019770;Валенсия;2020;29
Продавец;106503;7866472;Куэнка;2004;26
Медсестра;170822;2283801;Ташкент;2002;50
Медсестра;95745;4449847;Подгорица;2001;34
Менеджер;162401;3723220;Варшава;2003;31
Врач;40604;9715276;Ташкент;2002;51
Архитектор;93532;2240159;Махадаонда;2014;30
Продавец;121347;9120612;Москва;2006;30
Водитель;194961;9316483;Вильнюс;2005;50
Учитель;130680;2369030;Аликанте;2010;64
Архитектор;189366;8931494;Камбадос;2018;60
IT-специалист;101383;2534910;Краков;2021;45
Строитель;102419;5717022;Куэнка;2021;54
Менеджер;129577;1634863;Любляна;2021;24
Инженер;97429;8586573;Вильнюс;2020;31
Врач;104871;7443684;Белград;2004;46
Инженер;92683;6410719;Овьедо;2006;28
Повар;124745;8901039;Мерида;2010;60
Учитель;36612;7041013;Вальядолид;2013;49
Строитель;157606;5968847;София;2006;36
Врач;59663;7212288;Любляна;2013;34
Учитель;150052;3667168;Скопье;2015;39
Продавец;111436;4338557;Ла-Корунья;2020;19
Врач;46290;9480736;Кордова;2007;54
Психолог;134798;2018540;Астана;2016;43
Программист;42397;9849349;Хихон;2015;31
Оператор call-центра;47769;4848272;Алма-Ата;2012;18
Строитель;119005;3608070;Тбилиси;2022;30
Косметолог;115150;1770249;Мартоса;2017;39
Психолог;128729;1638502;Варшава;2012;27
IT-специалист;110122;1081606;Ташкент;2011;44
Повар;192985;8637401;Луго;2021;37
Психолог;62880;4400951;Мадрид;2006;33
Врач;20115;2881359;Душанбе;2018;21
Менеджер;184017;3091107;Кордова;2006;48
Менеджер;165684;4287722;Минск;2000;49
Медсестра;191753;8913004;Белград;2013;37
Продавец;61804;6232818;Санкт-Петербург;2017;31
Строитель;32070;8279311;Бишкек;2005;58
Менеджер;148576;6743819;Овьедо;2015;38
Программист;160795;3451352;Осера;2017;47
Бухгалтер;112934;1996851;Хельсинки;2008;52
Медсестра;34218;8165431;Эль-Пуэрто-де-Санта-Мария;2001;22
Строитель;199607;9697180;Ереван;1999;64
Программист;169608;2408162;Москва;2021;35
Строитель;131681;1193283;Луарка;2021;26
Архитектор;81431;6899792;Луарка;2008;54
Повар;31271;9151075;Рига;2003;22
Косметолог;112469;2276625;Краков;2008;20
Психолог;158859;5638136;Хельсинки;2010;28
Психолог;130229;6058081;Вильнюс;2019;18
Повар;193603;7596446;Бургос;2010;47
Менеджер;106765;1492274;Сеговия;2000;49
Строитель;44863;7334191;Тарраса;2021;18
Косметолог;167121;5885322;Тбилиси;2002;62
Бухгалтер;94212;7586625;Алькала-де-Энарес;2022;54
Продавец;114959;9661560;Тарраса;2000;55
Психолог;114076;7567782;Сьюдад-Реаль;2018;55
Инженер;99938;8928602;Санхенхо;1999;51
Менеджер;111683;7089161;Сантьяго-де-Компостела;2014;56
Врач;99530;9530391;Сантьяго-де-Компостела;2006;35
Косметолог;31239;4336508;Тбилиси;2000;55
Бухгалтер;192367;7833598;Севилья;2009;63
Программист;41800;9917835;Камбадос;2001;60
Учитель;150349;5920961;Малага;1999;51
Оператор call-центра;169212;1770555;Осера;2011;19
Медсестра;115278;1784746;Хихон;1999;33
Психолог;81329;7409938;Скопье;2017;35
Психолог;32801;1740206;Аликанте;2007;26
Косметолог;50366;1918811;Сьюдад-Реаль;2005;60
Водитель;191876;1759780;Будапешт;2011;30
Программист;77143;6837484;Гранада;2002;64
Бухгалтер;44820;2169230;Бланес;2015;56
Оператор call-центра;171030;6106194;Душанбе;2011;36
Архитектор;189821;1190060;Вроцлав;2009;44
Оператор call-центра;115986;1997193;Сьюдад-Реаль;1999;62
Психолог;37795;7097888;Мартоса;2017;60
Строитель;126419;3154038;Тирана;2017;53
Врач;191021;9217068;Лас-Росас;2005;62
Инженер;184866;3145699;Минск;2020;26
Бухгалтер;190477;3608582;Валенсия;2007;40
Медсестра;102549;5497648;Вильнюс;2014;64
Бухгалтер;90166;7760612;Камбадос;2015;61
Медсестра;37967;1865117;Мурсия;2016;18
Строитель;35180;9811323;Кадакес;2007;38
Архитектор;85191;3009168;Тарраса;2010;29
Медсестра;104106;5056859;Овьедо;2008;35
Водитель;181884;8560337;Ла-Корунья;2004;53
Строитель;31930;7663303;Санкт-Петербург;2018;21
Психолог;94369;6619572;Севилья;2019;47
Инженер;20609;2310758;Сараево;2003;58
Оператор call-центра;47328;3401580;Семана;2001;35
Архитектор;30755;6021672;Картахена;2008;47
Косметолог;165246;3376494;Хихон;2020;37
Косметолог;48094;3686598;Хихон;1999;56
Программист;37638;2432920;Сьюдад-Реаль;2017;20
Инженер;48910;1579347;Мурсия;2015;27
Менеджер;170945;8340086;Краков;1999;34
Оператор call-центра;118032;5948539;Самора;2002;21
Косметолог;156497;8761915;Ереван;2020;55
Строитель;155552;5041418;Луго;2018;55
Инженер;33295;2797099;Санхенхо;2004;43
Учитель;177989;2235915;Трухильо;2021;34
Архитектор;172370;4482462;Бланес;2008;57
Психолог;162160;2466343;Махадаонда;2018;42
Врач;130473;8373161;Касерес;2005;33
Учитель;62820;3106395;Санкт-Петербург;2003;38
Менеджер;36160;9516310;Луарка;1999;25
Водитель;169898;3220904;Санхенхо;2013;36
Оператор call-центра;39644;6942470;Тирана;2014;32
Архитектор;191143;2840102;Трухильо;2004;39
Учитель;144405;1283638;Ташкент;2017;62
Строитель;48528;2902386;Пласенсия;1999;35
Менеджер;146334;2667767;Москва;2005;50
Менеджер;103332;9200642;Алькала-де-Энарес;2010;44
Архитектор;64579;4806249;Сория;2019;60
Повар;132856;2781900;Трухильо;2002;56
Менеджер;128272;8871800;Алькала-де-Энарес;2015;64
Врач;141548;9936824;Махадаонда;2021;35
Оператор call-центра;97899;1675934;Варшава;2005;59
Строитель;166710;9506238;Рига;2020;45
Косметолог;156239;4418891;Краков;2015;63
Архитектор;57094;1986398;Мурсия;2018;21
Архитектор;103019;9046687;София;2012;62
Медсестра;114652;5350501;Краков;2004;61
Косметолог;49661;8553397;Сараево;2010;63
Архитектор;40292;4950394;Санкт-Петербург;2001;38
Оператор call-центра;190494;9774124;Осера;2019;19
Строитель;34907;4270169;Виго;2011;53
Психолог;184557;8691901;Афины;2004;31
Программист;31003;8070430;Кишинев;2020;62
Продавец;163188;5240432;Авилес;2019;25
Медсестра;21903;2362075;Фигерас;2015;55
Программист;198283;5187170;Куэнка;2006;25
Учитель;102049;3012735;Сан-Себастьян;2022;18
Врач;65723;4894068;Хельсинки;2015;31
Учитель;159346;4333155;Мадрид;2021;49
Оператор call-центра;164372;3837092;Хихон;2018;51
Врач;142489;8401869;Ереван;2013;29
Косметолог;42552;2652473;Осера;2022;50
Бухгалтер;50812;7746333;Лас-Росас;2003;54
Психолог;80437;6277617;Монсон;2001;18
Продавец;52274;9928383;Лас-Росас;2000;47
Оператор call-центра;144499;4578619;Тирана;2022;31
Строитель;48119;6120307;Бланес;2005;61
Продавец;159942;9617507;Белград;2019;65
Врач;61467;1096916;Эль-Пуэрто-де-Санта-Мария;2019;46
IT-специалист;165117;8809770;Осера;2006;41
Косметолог;95354;2182528;Хихон;2017;32
Водитель;170497;7682403;Тирана;2017;40
Инженер;48148;2012393;Эль-Пуэрто-де-Санта-Мария;2005;18
Медсестра;167201;8354055;Сан-Себастьян;2012;22
Водитель;100585;6642781;Семана;2015;65
Психолог;150199;2512269;Вильнюс;2004;31
Строитель;44262;7966802;Кордова;2002;24
Врач;93366;9566558;Картахена;2017;46
Учитель;75688;3435994;Вроцлав;2015;46
Бухгалтер;108152;9699948;Кордова;2022;23
Медсестра;181802;2470031;Самора;2017;56
Менеджер;92763;5286990;Вильявисиоса;2016;18
Менеджер;142575;3392303;Льейда;2021;52
IT-специалист;111321;6213056;Валенсия;2003;45
