job;salary;id;city;year;age
Продавец;94613;2947962;Вроцлав;2022;48
Архитектор;160503;8934198;Ереван;2014;48
Психолог;123309;4479102;Бургос;2009;63
Строитель;25152;2063774;Мурсия;2014;18
IT-специалист;73879;3640840;Астана;2006;25
Повар;148404;7796600;Ташкент;2018;24
Продавец;96805;9672154;Баку;2006;44
Медсестра;93457;8559728;Аликанте;2021;54
Инженер;122573;1786857;Хихон;2020;35
Инженер;131757;9622987;Бильбао;2007;27
Косметолог;54806;7643849;Афины;2016;25
Повар;94779;6364657;Фигерас;2003;19
Повар;97523;2936692;Астана;2020;55
Продавец;97351;6753268;Монсон;2002;18
Психолог;186041;5154641;Астана;2012;60
Инженер;66905;8324011;Самора;2020;48
Медсестра;36865;6919117;Бильбао;2007;53
Инженер;74428;7857290;Хихон;2021;32
IT-специалист;42638;7291402;Кадакес;2006;26
IT-специалист;170080;4949877;Бишкек;2011;33
Учитель;167440;6333962;Эль-Пуэрто-де-Санта-Мария;2006;23
Продавец;169507;1913129;Будапешт;2019;27
Строитель;25679;8242817;Барселона;2009;53
Бухгалтер;89066;2115104;Тирана;1999;34
Бухгалтер;194990;9391813;Лас-Росас;2006;26
Косметолог;139498;3759660;Мартоса;2000;35
Повар;57387;3961071;Сьюдад-Реаль;2001;58
Оператор call-центра;54519;3773813;Бланес;2020;33
Косметолог;128880;5001054;Афины;2007;58
IT-специалист;40940;9760528;Афины;2015;59
Повар;117516;3671858;Загреб;2006;24
Строитель;166466;5523761;София;2021;40
Программист;194052;8899088;Сан-Себастьян;2020;18
Оператор call-центра;42282;2049332;Любляна;2021;62
Медсестра;198230;7931706;Пласенсия;2017;57
Инженер;68686;5139646;Барселона;2009;31
Врач;72214;6172326;Прага;2001;35
Водитель;50254;1591404;Бургос;2010;53
Повар;55775;5546317;Малага;2010;37
Психолог;196630;6331600;Хихон;2010;49
Бухгалтер;70478;6783318;Мадрид;2001;52
Продавец;106933;9104554;Трухильо;2009;42
Продавец;114287;9676635;Минск;2000;27
Бухгалтер;141099;3420341;Камбадос;2022;24
Архитектор;87190;6716966;Сан-Себастьян;2019;52
Учитель;58051;9387728;Москва;1999;22
Программист;198622;8034681;Вильявисиоса;2022;23
Строитель;35264;1544170;Аликанте;2010;36
Инженер;194717;9930579;Алькала-де-Энарес;1999;54
IT-специалист;85149;1332641;Варшава;2003;58
Архитектор;44077;3916044;Куэнка;2001;27
Бухгалтер;57724;2219362;Бланес;2014;36
Водитель;38058;1579304;Белград;2017;56
Врач;90195;9665869;Эль-Пуэрто-де-Санта-Мария;2011;40
