job;salary;id;city;year;age
Водитель;121790;7178213;Подгорица;2002;60
Продавец;37391;1617234;Вильнюс;2001;56
Оператор call-центра;124672;8297755;Подгорица;2008;19
Водитель;171351;7271298;Белград;2015;45
IT-специалист;104858;2003194;Хельсинки;2006;34
Учитель;55319;3760686;Валенсия;2007;49
Водитель;80666;5304830;Эль-Пуэрто-де-Санта-Мария;2019;27
Менеджер;167542;1794084;Виго;2014;44
Продавец;180473;4732895;Подгорица;2020;47
Учитель;92077;8265378;Мадрид;2011;56
Повар;43499;6566692;Осера;2017;61
IT-специалист;43322;4655746;Будапешт;2010;41
IT-специалист;163115;9995221;Мартоса;2004;22
Менеджер;186440;4581529;Таллин;2006;64
Водитель;74978;6893965;Аликанте;2003;22
Менеджер;64670;3062406;Астана;1999;33
Повар;56329;5686391;Лас-Росас;2020;43
Учитель;55699;4540073;Лас-Росас;2006;42
Оператор call-центра;104486;6620317;Семана;2013;32
Программист;168875;1107649;Краков;2009;59
IT-специалист;184421;7401859;Любляна;2019;50
Менеджер;153337;2583541;Эль-Пуэрто-де-Санта-Мария;2000;29
Продавец;86311;5671971;Лас-Росас;2017;63
Продавец;140530;4047192;Пласенсия;2020;54
Оператор call-центра;25067;1698442;Сеговия;1999;30
Оператор call-центра;197307;8349153;Кордова;2016;54
Инженер;86577;3512118;Махадаонда;2002;56
Косметолог;125913;3363388;Барселона;2002;61
Продавец;109116;4534650;Санхенхо;2001;65
Косметолог;181002;3690866;Гранада;2013;34
Врач;95279;7825540;Любляна;2009;29
Менеджер;162353;1486904;Барселона;2017;55
Медсестра;92716;8807692;Подгорица;2003;43
Косметолог;73071;4686564;Белград;2005;22
Оператор call-центра;71579;1533285;Валенсия;2021;24
Врач;132539;6674632;Монсон;2000;64
Архитектор;113062;3189450;Семана;2003;41
Медсестра;194824;8969900;Москва;2011;50
Менеджер;83610;7949589;Кордова;2011;62
Косметолог;63882;3239214;Кадакес;2006;51
Психолог;77646;4040470;Сан-Себастьян;2018;18
Продавец;143190;3971432;Сан-Себастьян;2001;62
Врач;187323;3270294;Мартоса;2019;34
Продавец;100396;6084628;Белград;2008;53
Врач;43984;5051281;Мартоса;2000;59
Менеджер;59936;4201718;Севилья;2003;30
IT-специалист;131217;3369061;Таллин;2019;19
Архитектор;28759;8067796;Гранада;2016;45
Менеджер;137727;1751527;Малага;2000;36
Повар;86826;8997367;Луарка;2002;57
Бухгалтер;161383;2546370;Сеговия;2006;41
Учитель;178703;1003595;Барселона;2021;29
Врач;89549;3279992;Махадаонда;2017;60
Инженер;140140;4986314;Санхенхо;2008;24
Оператор call-центра;147457;7278574;Бургос;2018;57
Продавец;189396;4360841;Кадакес;2001;39
Программист;183175;8782933;Хихон;2005;45
Психолог;198711;4967152;Ташкент;2020;27
Оператор call-центра;24846;6178749;Самора;2001;43
Оператор call-центра;169048;1865683;Ереван;2001;41
Строитель;88194;9437277;Хихон;2020;59
Строитель;85914;8997980;Будапешт;2020;41
Водитель;58399;7821665;Хельсинки;2005;42
Повар;40310;9000171;Тирана;2005;59
Учитель;34964;5561479;Мурсия;2019;34
Продавец;159733;1382064;София;2015;32
Водитель;53144;8118953;Хихон;2013;33
Архитектор;77956;3060099;Душанбе;2000;65
IT-специалист;148055;3299886;Подгорица;2004;48
Косметолог;165606;8261441;Картахена;2009;34
IT-специалист;195781;8540368;Загреб;2012;19
Инженер;95551;1774183;Сория;2016;31
Оператор call-центра;99669;3321549;Кордова;2002;47
Психолог;37169;6480189;Барселона;2011;39
IT-специалист;156603;9015159;Луарка;2002;64
Бухгалтер;148502;4065245;Санкт-Петербург;2019;28
IT-специалист;177388;3483807;Осера;2015;27
Повар;59282;4101055;Тбилиси;2001;60
Повар;136692;3992965;Варшава;2003;33
Врач;34181;1790989;Семана;2011;24
Медсестра;44243;7582535;Осера;1999;40
Строитель;25274;9865433;Малага;2008;40
IT-специалист;63331;1643933;Картахена;2009;64
Психолог;193835;6948488;Вроцлав;2001;41
Учитель;42702;4576753;Бильбао;2004;46
Водитель;182340;9996908;Лас-Росас;2021;48
Менеджер;104095;5866091;Тирана;2016;32
Повар;101555;5073327;Аликанте;2016;43
Строитель;59172;8173040;Краков;2010;25
Менеджер;173849;6093910;Осера;2022;21
Программист;94633;2073519;Вроцлав;2002;46
Медсестра;97184;7846273;Ла-Корунья;2013;35
Психолог;107045;8713142;Подгорица;2014;59
Учитель;94379;8615519;Трухильо;2006;22
Психолог;69244;5204723;Виго;1999;21
Косметолог;167616;5083187;Осера;2022;25
Строитель;152257;9952291;Фигерас;1999;33
Менеджер;191577;3006827;Астана;1999;62
Бухгалтер;193864;1035672;Сеговия;1999;46
Водитель;111752;9543529;Сеговия;2021;30
Водитель;163601;5304276;Камбадос;2002;29
