job;salary;id;city;year;age
Архитектор;182675;8555268;Осера;2017;29
Программист;153772;9325896;Пласенсия;2001;59
Водитель;126096;8774377;Мадрид;2004;19
Продавец;99216;3429472;Сория;2016;59
Учитель;143287;9572063;Навалькарнеро;2013;35
IT-специалист;83643;6256937;Хихон;2002;62
Косметолог;85010;8305702;Сараево;2000;19
Учитель;150296;3844317;Сьюдад-Реаль;2004;28
Врач;119449;8149257;Вроцлав;2005;64
Повар;163663;6646842;Баку;2013;38
Бухгалтер;62051;3354716;Картахена;2007;47
Медсестра;159758;4589178;Подгорица;2000;49
Врач;53471;7545946;Прага;2006;53
Архитектор;167581;1518457;Хихон;2001;65
Строитель;35842;6545854;Ташкент;2015;46
Врач;112812;4197717;Авилес;2008;49
Архитектор;75330;8918442;Осера;2001;42
Менеджер;127167;5897660;Ереван;2014;39
Продавец;96388;9609711;Монсон;2006;49
Психолог;185544;7962500;Эль-Пуэрто-де-Санта-Мария;2001;32
Косметолог;56871;5963254;Таллин;2016;42
IT-специалист;40212;9920418;Касерес;2015;61
Учитель;194627;5018268;Малага;2013;51
IT-специалист;49542;7053807;Скопье;2015;28
Строитель;189171;9644416;Куэнка;2004;26
Продавец;84413;7248377;Навалькарнеро;2021;44
Инженер;188476;3557939;Севилья;2002;48
Психолог;130043;2515548;Барселона;2020;58
Менеджер;33164;4286065;Алькала-де-Энарес;2000;35
Повар;50011;7399578;Таллин;2010;34
Строитель;63218;9522410;Махадаонда;2017;57
Медсестра;49118;7396741;Малага;2019;46
Психолог;190811;7452743;Бланес;2014;48
Учитель;195298;2953517;Эльче;2001;26
Строитель;140358;6762552;Камбадос;2002;54
Врач;67550;9564716;Камбадос;2014;28
Инженер;97445;8656194;Белград;2015;58
Учитель;34784;3256103;Луарка;2000;45
Повар;90354;2142088;Монсон;2010;55
Повар;135745;3347234;Фигерас;2009;27
Косметолог;164657;1577335;Мадрид;2013;40
Оператор call-центра;105278;2830075;Артейхо;2006;60
Повар;118899;7310352;Бишкек;2015;24
Строитель;104534;1156927;Виго;2018;25
Водитель;30517;6511663;Вильнюс;2002;64
Косметолог;78317;6042897;Авилес;2005;24
Бухгалтер;57339;5115555;Краков;2020;37
Оператор call-центра;45500;3505817;Загреб;2012;50
Повар;163474;8234590;Варшава;2022;24
Медсестра;69275;7542664;Касерес;2008;56
Медсестра;122162;7420142;Баку;2009;37
Программист;130305;3779220;Астана;2002;57
Повар;145975;7917413;Фигерас;2002;39
IT-специалист;117292;5438440;Тарраса;2014;54
Строитель;38011;1669087;Тудела;2012;58
Врач;36246;3885419;Касерес;2006;65
Повар;78544;1585172;Вильявисиоса;2015;22
Врач;145190;8718805;Артейхо;2004;34
Оператор call-центра;102060;3359742;Авилес;2007;29
Архитектор;72114;6488199;Скопье;2001;20
Водитель;113672;1911524;Душанбе;2009;21
Врач;139612;5838856;Пласенсия;2000;64
Психолог;53454;2842109;Пласенсия;2007;55
Оператор call-центра;82302;1325019;Астана;2014;61
Программист;166739;8891627;Лас-Росас;2019;34
Психолог;34284;9198567;Ла-Корунья;2018;44
Косметолог;187677;6341206;Сьюдад-Реаль;2008;28
Бухгалтер;143369;8915170;Куэнка;2006;27
Инженер;85682;1783620;Вильнюс;2011;32
Программист;173822;2794303;Бланес;2009;45
Психолог;176579;4108744;Овьедо;2014;59
IT-специалист;177390;7872159;Санкт-Петербург;2022;36
Программист;97361;4266834;Гранада;2000;48
Врач;185627;1542603;Луарка;1999;54
Врач;75970;6968583;Артейхо;2006;29
Оператор call-центра;193991;9536547;Навалькарнеро;2011;19
Учитель;50876;4822678;Артейхо;2020;40
Продавец;199028;8232107;Тбилиси;1999;26
Оператор call-центра;130695;6997059;Тарраса;2010;54
Архитектор;23351;5042896;Валенсия;2021;22
Врач;93349;5961898;Ташкент;2018;22
Медсестра;175797;2574626;Ереван;2013;18
Учитель;62792;2301770;Белград;2018;32
Психолог;31622;8195653;Бланес;2013;23
